student_id,age,gender,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
5895,21,2,6.87,57.1,0,9.0,2,4,0,2
3729,19,2,6.91,54.8,1,9.1,2,2,1,2
8959,20,2,5.45,99.4,1,7.6,1,4,1,1
7672,20,2,4.73,47.6,1,7.0,0,4,2,1
6000,17,1,3.81,78.6,1,7.8,2,4,2,1
5752,18,1,2.94,79.5,1,4.8,0,0,2,1
1689,24,0,5.72,60.0,1,4.8,0,3,2,1
6837,22,2,1.82,47.8,1,4.8,0,1,1,1
6537,19,0,6.04,67.1,1,8.2,0,0,1,0
4843,17,1,5.32,75.3,0,8.4,0,1,0,1
15845,23,2,3.22,67.3,1,9.8,0,1,1,2
197,19,2,5.71,77.1,1,8.2,1,1,2,0
519,20,2,1.8,70.7,1,9.7,0,4,2,2
10582,19,2,4.97,88.6,1,8.3,1,0,0,1
13321,20,0,0.54,99.4,1,4.4,0,0,1,0
10791,21,0,4.16,85.9,1,8.6,2,2,2,0
16940,19,1,1.52,92.0,1,7.7,2,4,1,0
842,22,0,0.28,91.9,1,7.5,0,4,1,1
9508,20,2,1.04,77.3,1,7.6,0,2,0,1
10483,24,2,2.68,79.3,1,8.7,2,1,2,1
5175,18,1,6.41,85.3,0,9.6,2,2,0,0
19948,21,0,5.66,61.1,1,8.4,2,4,1,1
14470,21,1,3.83,90.7,0,9.3,1,0,1,2
7609,19,2,1.4,54.6,1,4.2,2,1,0,0
11265,24,1,7.67,67.5,1,9.1,1,1,1,0
14021,21,0,3.74,42.3,1,5.3,2,1,1,1
18602,23,2,2.0,90.7,1,9.9,1,0,2,2
19264,24,2,2.38,70.5,1,7.1,2,0,1,1
7098,17,0,5.08,74.7,0,4.6,1,0,2,0
12597,23,0,2.27,68.3,1,6.0,1,3,1,2
455,21,1,7.72,59.9,1,7.3,2,3,1,1
18087,22,0,3.44,80.7,0,4.5,1,0,1,2
18221,22,1,6.05,53.1,1,4.1,1,3,2,0
2863,23,0,5.39,40.6,1,6.3,0,3,1,0
17393,18,2,0.76,53.2,1,7.1,2,1,2,1
3853,17,2,1.18,99.4,1,8.6,2,3,2,1
14005,21,0,7.73,61.8,1,5.6,0,0,1,1
183,20,2,4.74,45.9,1,5.6,1,1,0,0
15128,20,1,6.24,90.0,1,8.9,0,2,1,1
18773,23,2,6.97,91.4,1,5.3,0,1,2,1
13419,20,1,0.17,91.8,1,7.3,0,0,2,0
2523,18,2,6.95,80.9,1,5.2,2,0,0,0
16261,24,1,3.24,42.1,1,5.5,1,4,0,1
4983,18,2,7.58,54.6,1,4.5,0,1,1,1
16569,21,2,6.9,67.1,1,7.7,0,2,0,1
19447,17,1,2.7,77.1,1,5.2,0,2,0,0
100,18,2,5.56,84.1,1,8.8,0,2,1,0
11033,21,0,7.35,60.5,1,4.2,0,0,0,1
10485,17,0,3.78,45.0,1,9.9,0,2,2,2
15050,18,2,4.68,41.5,1,4.1,0,1,1,0
10929,19,0,7.24,60.1,1,4.1,1,0,2,1
18501,18,1,3.08,43.8,1,6.2,1,0,2,1
12009,21,2,1.06,96.6,1,8.9,0,1,0,1
18418,18,0,7.84,87.7,1,9.0,1,3,0,2
19622,19,1,5.8,49.4,1,7.5,2,1,2,1
16482,17,1,6.77,89.2,0,9.1,1,1,1,0
9189,20,0,3.6,69.4,1,6.0,0,0,0,1
15007,19,2,5.06,43.6,1,4.9,0,3,1,1
4742,20,2,3.51,67.1,1,4.4,2,4,2,1
1708,24,2,3.68,96.9,1,4.3,1,4,0,0
255,22,0,0.25,78.6,1,6.7,1,1,0,0
13545,24,1,5.4,97.1,1,5.6,0,3,0,0
8442,18,1,4.42,40.7,1,4.6,2,2,2,1
1303,22,0,2.0,77.3,1,4.1,2,2,2,0
14442,18,2,5.32,64.9,1,4.6,1,2,2,0
15077,17,1,2.09,83.0,0,5.8,0,4,2,0
19383,17,2,4.78,51.1,0,8.1,0,4,1,1
6919,17,0,5.63,57.8,0,7.6,1,0,2,2
8455,24,2,0.19,69.5,1,6.6,0,4,2,0
4626,20,0,3.71,49.4,1,7.7,0,3,2,0
3931,22,1,6.1,40.6,1,7.8,1,3,1,2
7181,20,2,3.2,95.3,1,5.1,1,3,2,1
19846,21,2,2.93,52.9,0,7.7,2,4,2,2
8826,22,0,0.08,90.3,1,6.2,2,2,2,1
934,22,1,5.12,46.2,0,4.2,2,1,1,0
260,21,1,6.38,88.2,1,7.3,2,3,1,0
19081,18,2,5.2,56.8,1,4.6,2,1,2,1
15875,23,1,2.09,89.1,1,5.7,1,0,1,1
9091,21,2,4.6,72.6,1,8.0,0,1,0,2
2519,18,0,4.54,52.5,1,8.3,0,4,0,1
19854,22,1,5.9,58.9,1,8.6,2,2,1,1
1374,20,2,1.75,42.1,1,9.9,1,0,1,1
19879,20,2,7.32,88.2,1,5.9,2,1,2,2
4049,19,1,1.28,49.6,0,7.3,0,1,2,1
6351,19,0,5.66,68.6,1,5.6,2,4,0,1
8044,18,0,7.91,90.6,1,5.9,0,0,1,0
14596,17,1,3.73,70.7,1,6.8,0,4,1,2
2010,22,2,6.4,49.9,1,6.8,2,2,1,2
7807,18,1,2.24,72.6,1,7.4,0,4,0,2
19837,19,1,4.64,83.9,1,4.3,2,4,0,0
11342,21,2,4.77,98.2,1,8.5,1,0,2,0
3951,20,2,0.38,67.1,1,7.7,0,4,1,2
9816,17,0,0.08,62.1,0,8.3,2,1,2,2
16446,19,0,7.67,75.5,1,9.9,0,0,0,0
2913,20,2,6.69,87.9,0,6.7,0,1,1,1
16192,23,0,5.59,91.7,1,7.1,1,1,0,2
2875,20,1,1.27,87.0,1,9.6,2,0,1,1
8307,20,2,4.73,68.9,1,9.5,1,1,1,2
1038,17,1,1.21,67.8,1,7.7,0,3,1,0
2705,17,2,4.44,47.7,1,5.2,2,1,2,2
8109,22,0,5.23,54.6,1,4.1,0,4,0,0
8569,17,2,3.11,81.5,1,4.9,0,0,0,1
9576,22,2,3.39,83.3,1,8.0,2,4,0,1
13573,17,1,7.01,57.3,1,7.2,1,0,0,1
9350,22,2,4.01,98.1,1,4.3,1,2,1,2
11845,18,2,1.26,58.3,1,9.6,2,4,1,0
14986,23,2,4.03,89.6,1,6.8,0,3,0,0
9656,20,0,2.98,50.3,1,6.1,2,0,1,0
15555,20,0,4.68,96.0,1,7.3,0,0,1,0
15054,23,2,6.62,96.4,1,6.7,0,1,0,2
10612,22,2,6.93,86.2,1,9.9,0,3,0,2
13164,21,2,4.13,74.6,1,4.7,2,3,2,0
11860,17,0,4.25,87.6,1,5.7,2,0,2,2
13346,21,0,5.41,74.9,1,8.0,1,0,1,2
15507,21,0,5.74,95.7,1,8.5,1,4,2,0
1541,20,0,4.95,56.8,1,9.5,0,4,0,1
15679,19,1,6.32,61.4,0,4.1,1,4,1,1
2698,20,1,5.67,54.8,1,9.7,2,0,2,2
2287,24,0,1.61,45.5,0,7.1,1,4,0,1
4789,19,1,1.21,83.2,1,7.8,0,0,0,1
16031,21,2,4.06,97.0,0,9.8,0,2,0,1
18932,18,2,7.91,47.8,1,7.4,2,3,2,2
13693,21,2,0.65,52.2,1,9.9,1,1,1,1
17514,19,1,3.16,79.2,1,9.1,0,4,2,2
6809,17,1,3.16,75.5,1,7.6,0,4,0,1
19029,20,2,0.08,95.1,1,4.9,0,2,2,1
8711,18,1,3.89,50.3,1,5.7,1,2,1,0
13905,20,2,0.51,49.7,1,7.2,0,0,1,1
19516,21,0,0.23,74.5,0,6.0,0,1,0,2
11833,22,0,5.26,44.1,1,4.7,1,1,0,1
15281,17,2,1.47,79.8,1,8.7,1,4,2,0
10347,24,1,4.88,53.2,1,5.8,0,2,0,0
5164,23,0,0.62,75.9,1,5.6,2,4,2,0
1334,23,0,4.71,78.7,1,9.4,1,3,1,1
5717,18,2,7.27,90.3,1,9.4,1,4,1,2
14170,22,2,0.57,71.6,1,6.0,2,0,2,1
10009,24,1,4.95,72.2,1,5.7,1,2,1,2
15195,21,2,0.18,53.6,1,4.4,2,0,2,2
1985,22,1,2.48,61.0,1,7.7,0,4,2,1
4732,22,2,4.04,68.4,0,4.2,2,3,2,2
2436,21,1,7.07,61.0,1,5.8,0,3,1,0
9484,18,1,6.38,93.8,1,6.5,0,2,0,0
10257,23,2,5.13,97.4,1,9.5,2,0,2,2
19350,20,2,0.6,99.3,1,6.1,2,0,0,2
12847,20,1,6.93,90.6,1,5.0,1,0,2,2
7802,18,1,0.67,95.2,0,6.1,2,3,2,1
3921,24,0,0.49,60.3,1,6.1,2,1,0,0
14060,24,2,1.35,87.6,1,8.7,0,3,2,1
9606,17,0,7.18,73.5,1,5.9,2,0,1,0
5364,23,0,4.63,53.3,1,4.4,2,1,2,1
7563,20,0,3.06,78.4,1,5.0,0,3,0,0
9878,22,2,2.62,81.4,1,4.2,2,2,2,2
19142,17,2,5.01,71.8,1,6.0,2,2,1,1
2814,24,2,0.91,96.2,1,6.7,0,4,1,1
7498,19,0,1.75,94.4,1,5.9,1,4,2,2
537,20,1,2.04,55.7,1,9.2,0,2,1,2
17952,17,0,5.56,67.9,1,6.3,2,3,0,1
1140,21,2,4.6,88.8,1,9.9,1,0,1,0
4117,17,2,1.7,97.6,1,4.7,2,2,2,0
6096,22,1,2.19,96.7,1,4.6,0,0,2,1
16117,24,1,0.3,79.8,0,6.4,0,1,2,2
17874,18,0,7.28,57.7,1,9.7,0,1,1,2
618,19,2,1.85,42.2,1,6.4,0,3,2,2
1311,21,2,5.07,71.7,1,4.5,1,1,1,2
15105,22,2,2.09,49.3,1,6.0,2,2,0,0
17024,21,1,6.9,57.3,1,5.6,2,3,1,1
3252,22,0,3.13,84.0,1,6.5,0,4,2,1
3548,24,1,4.04,53.6,1,9.7,2,3,2,2
18642,22,0,5.36,50.6,1,8.6,0,3,2,1
11759,24,2,5.68,70.4,0,8.1,0,0,2,2
6628,21,2,4.62,44.2,0,9.1,1,1,0,0
15467,21,1,7.83,99.4,1,4.7,1,0,1,0
5001,18,2,1.1,46.3,0,4.5,0,2,0,1
7717,22,0,2.08,52.8,1,8.8,2,2,1,1
